"row","col","value","x","y"
1,1,1,0,-1
2,1,1,-0.5,-2
2,2,1,0.5,-2
3,1,1,-1,-3
3,2,2,0,-3
3,3,1,1,-3
4,1,1,-1.5,-4
4,2,3,-0.5,-4
4,3,3,0.5,-4
4,4,1,1.5,-4
5,1,1,-2,-5
5,2,4,-1,-5
5,3,6,0,-5
5,4,4,1,-5
5,5,1,2,-5
6,1,1,-2.5,-6
6,2,5,-1.5,-6
6,3,10,-0.5,-6
6,4,10,0.5,-6
6,5,5,1.5,-6
6,6,1,2.5,-6
7,1,1,-3,-7
7,2,6,-2,-7
7,3,15,-1,-7
7,4,20,0,-7
7,5,15,1,-7
7,6,6,2,-7
7,7,1,3,-7
8,1,1,-3.5,-8
8,2,7,-2.5,-8
8,3,21,-1.5,-8
8,4,35,-0.5,-8
8,5,35,0.5,-8
8,6,21,1.5,-8
8,7,7,2.5,-8
8,8,1,3.5,-8
9,1,1,-4,-9
9,2,8,-3,-9
9,3,28,-2,-9
9,4,56,-1,-9
9,5,70,0,-9
9,6,56,1,-9
9,7,28,2,-9
9,8,8,3,-9
9,9,1,4,-9
10,1,1,-4.5,-10
10,2,9,-3.5,-10
10,3,36,-2.5,-10
10,4,84,-1.5,-10
10,5,126,-0.5,-10
10,6,126,0.5,-10
10,7,84,1.5,-10
10,8,36,2.5,-10
10,9,9,3.5,-10
10,10,1,4.5,-10
11,1,1,-5,-11
11,2,10,-4,-11
11,3,45,-3,-11
11,4,120,-2,-11
11,5,210,-1,-11
11,6,252,0,-11
11,7,210,1,-11
11,8,120,2,-11
11,9,45,3,-11
11,10,10,4,-11
11,11,1,5,-11
12,1,1,-5.5,-12
12,2,11,-4.5,-12
12,3,55,-3.5,-12
12,4,165,-2.5,-12
12,5,330,-1.5,-12
12,6,462,-0.5,-12
12,7,462,0.5,-12
12,8,330,1.5,-12
12,9,165,2.5,-12
12,10,55,3.5,-12
12,11,11,4.5,-12
12,12,1,5.5,-12
13,1,1,-6,-13
13,2,12,-5,-13
13,3,66,-4,-13
13,4,220,-3,-13
13,5,495,-2,-13
13,6,792,-1,-13
13,7,924,0,-13
13,8,792,1,-13
13,9,495,2,-13
13,10,220,3,-13
13,11,66,4,-13
13,12,12,5,-13
13,13,1,6,-13
14,1,1,-6.5,-14
14,2,13,-5.5,-14
14,3,78,-4.5,-14
14,4,286,-3.5,-14
14,5,715,-2.5,-14
14,6,1287,-1.5,-14
14,7,1716,-0.5,-14
14,8,1716,0.5,-14
14,9,1287,1.5,-14
14,10,715,2.5,-14
14,11,286,3.5,-14
14,12,78,4.5,-14
14,13,13,5.5,-14
14,14,1,6.5,-14
15,1,1,-7,-15
15,2,14,-6,-15
15,3,91,-5,-15
15,4,364,-4,-15
15,5,1001,-3,-15
15,6,2002,-2,-15
15,7,3003,-1,-15
15,8,3432,0,-15
15,9,3003,1,-15
15,10,2002,2,-15
15,11,1001,3,-15
15,12,364,4,-15
15,13,91,5,-15
15,14,14,6,-15
15,15,1,7,-15
