"date","sleep_time","alarm_duration"
2025-11-30,27239,1800
2025-12-01,29575,0
2025-12-02,22179,1046
2025-12-03,12683,301
2025-12-04,29167,5418
2025-12-05,23300,0
2025-12-06,24876,NA
2025-12-07,26940,5538
2025-12-08,27456,NA
2025-12-09,22226,1200
2025-12-10,29182,0
2025-12-11,24244,1888
2025-12-12,24600,1800
2025-12-13,23208,4104
2025-12-14,29401,2700
2025-12-15,29756,NA
2025-12-16,14262,1552
2025-12-17,24319,1870
2025-12-18,24991,1800
2025-12-19,20982,1238
2025-12-20,40886,NA
2025-12-21,40208,NA
2025-12-22,29527,2699
2025-12-23,40450,NA
2025-12-24,29472,NA
2025-12-25,28166,3600
2025-12-26,44899,NA
2025-12-27,28546,0
2025-12-28,35942,NA
2025-12-29,29291,2700
2025-12-30,26034,6294
2025-12-31,22010,348
2026-01-01,41539,NA
2026-01-02,29496,NA
2026-01-03,33364,899
2026-01-04,29147,3299
2026-01-05,28091,1200
2026-01-06,27658,NA
2026-01-07,20674,0
2026-01-08,22129,604
2026-01-09,16166,NA
2026-01-10,28720,299
2026-01-11,27733,NA
2026-01-12,24897,600
2026-01-13,20097,601
2026-01-14,17135,900
2026-01-15,20013,42
2026-01-16,24595,900
2026-01-17,32613,NA
2026-01-18,28567,0
2026-01-19,30474,0
2026-01-20,20237,0
2026-01-21,29745,902
2026-01-22,28808,900
2026-01-23,31853,299
2026-01-24,28086,0
2026-01-25,29256,NA
